iter	CrossEntropy
0	0.6834558375
1	0.6761679088
2	0.6613542339
3	0.6613537197
4	0.6613537121
5	0.6518583069
6	0.6515698743
7	0.641196168
8	0.63630275
9	0.6300959753
10	0.6279455104
11	0.6233407549
12	0.6212764871
13	0.6177303737
14	0.6177300837
15	0.6177298109
16	0.6139229535
17	0.6078483191
18	0.6012159832
19	0.6012156563
20	0.6011999721
21	0.6011996831
22	0.5938612722
23	0.5901757231
24	0.5876375099
25	0.587623384
26	0.5802239493
27	0.5802228522
28	0.5802218199
29	0.5771627926
30	0.5722185474
31	0.5645979867
32	0.5641450252
33	0.5641424495
34	0.5641400261
35	0.5641377458
36	0.5641356004
37	0.5641335817
38	0.5641316824
39	0.563832135
40	0.5605092251
41	0.5565835799
42	0.5522644291
43	0.5485910294
44	0.5485891588
45	0.5469673053
46	0.5421758272
47	0.5390494712
48	0.5372242066
49	0.5356089288
50	0.530362529
51	0.530360384
52	0.5300718142
53	0.5300646551
54	0.5299003532
55	0.5297136623
56	0.5297120758
57	0.5274987426
58	0.5246387517
59	0.5246365547
60	0.5243076591
61	0.5241732532
62	0.5195258386
63	0.5187827926
64	0.5161338584
65	0.5161309048
66	0.5161281258
67	0.5142789852
68	0.5128236771
69	0.511710851
70	0.51115661
71	0.5099648415
72	0.5090026656
73	0.509000601
74	0.5088104154
75	0.5079853435
76	0.5079836671
77	0.5079820897
78	0.5078045688
79	0.5064239145
80	0.5043027387
81	0.5043011157
82	0.5042995886
83	0.5041307666
84	0.5029970855
85	0.502609786
86	0.5026086862
87	0.5026076515
88	0.5026066779
89	0.5018709226
90	0.5018677935
91	0.5018670775
92	0.5018664038
93	0.5018657699
94	0.4989086845
95	0.4989081746
96	0.498907695
97	0.4986386644
98	0.4986382405
99	0.496460167
100	0.495575876
101	0.4948921114
102	0.4927261267
103	0.4921855406
104	0.4921850176
105	0.49192309
106	0.4919226087
107	0.4919221558
108	0.4905979122
109	0.4890782601
110	0.4888387398
111	0.4886403602
112	0.488639119
113	0.4878899307
114	0.4874845087
115	0.4874841673
116	0.4869278848
117	0.4864052724
118	0.4863181217
119	0.4847139457
120	0.4818850023
121	0.4818849597
122	0.4812344951
123	0.481234465
124	0.4803843952
125	0.4800079061
126	0.4796921933
127	0.4795190293
128	0.4795190008
129	0.4795189771
130	0.4782852278
131	0.4782852254
132	0.4772989847
133	0.4771807676
134	0.4765803479
135	0.476488889
136	0.4764888713
137	0.4764888249
138	0.474098548
139	0.4740827908
140	0.4732466704
141	0.4724718076
142	0.4706736592
143	0.4706736583
144	0.4699335869
145	0.4697966931
146	0.4692832186
147	0.4691827134
148	0.4691826928
149	0.4686504927
150	0.4684414933
151	0.4682516342
152	0.4680030752
153	0.4679331117
154	0.4671614504
155	0.4668747871
156	0.4665806394
157	0.4665806381
158	0.4665428025
159	0.465534729
160	0.4655347282
161	0.4655347282
162	0.4652872228
163	0.4646240812
164	0.4644800843
165	0.464428561
166	0.4643654209
167	0.4640980349
168	0.4640980262
169	0.4640980181
170	0.4640980116
171	0.4640980101
172	0.464060868
173	0.4634971662
174	0.4634971661
175	0.4632313084
176	0.462333256
177	0.4615510103
178	0.4603021705
179	0.4603021475
180	0.4603021472
181	0.4594616082
182	0.4594615698
183	0.4589533793
184	0.4582077073
185	0.4580951199
186	0.4566852894
187	0.4564678865
188	0.4559584993
189	0.45593466
190	0.4558081025
191	0.4556711104
192	0.4555160427
193	0.4554600819
194	0.4551615645
195	0.4541859914
196	0.4541859743
197	0.4541859182
198	0.4541722798
199	0.4540482276
200	0.4539506704
201	0.4539506409
202	0.4534149832
203	0.453290585
204	0.4532457019
205	0.4529924805
206	0.4529924782
207	0.4525237484
208	0.452060892
209	0.4518447928
210	0.4517509402
211	0.4514314287
212	0.4505908974
213	0.4501069108
214	0.4501069059
215	0.4501068901
216	0.4501068779
217	0.4501068686
218	0.4498826357
219	0.4495405611
220	0.4494205666
221	0.4493439205
222	0.4493438978
223	0.4493328876
224	0.4491777617
225	0.4490230939
226	0.4490230765
227	0.4490170051
228	0.4479776309
229	0.4474947913
230	0.4473797875
231	0.4472682934
232	0.4467942037
233	0.446783615
234	0.4464184253
235	0.4463593466
236	0.4462956326
237	0.4462956305
238	0.4460047428
239	0.4456591855
240	0.4456591853
241	0.445512562
242	0.4455125615
243	0.4451354664
244	0.4450588321
245	0.4449739779
246	0.4444850563
247	0.4443501555
248	0.4438968133
249	0.443271106
250	0.4429719527
251	0.4426368807
252	0.4425515861
253	0.4424784306
254	0.4423910797
255	0.4423151944
256	0.4422924439
257	0.442229589
258	0.4420432976
259	0.4416280621
260	0.4413549936
261	0.4413498849
262	0.4413264827
263	0.4413264789
264	0.4409218684
265	0.4409153756
266	0.4408657931
267	0.4408657803
268	0.4408608561
269	0.4408394644
270	0.440839455
271	0.4408135162
272	0.4407516076
273	0.440464491
274	0.4404643131
275	0.4404643042
276	0.4402027645
277	0.4401463073
278	0.4400329795
279	0.4399786304
280	0.4398518413
281	0.4394969677
282	0.4389284333
283	0.4385597817
284	0.4380963968
285	0.4376830654
286	0.4375004887
287	0.4371315023
288	0.4371261205
289	0.436238793
290	0.4362387848
291	0.4356904367
292	0.4356066708
293	0.4355356708
294	0.4355213182
295	0.4353579194
296	0.4353528675
297	0.4353528645
298	0.4353191451
299	0.4353140269
300	0.4353139973
301	0.4352618698
302	0.4352577266
303	0.4352577243
304	0.4349601905
305	0.4342616996
306	0.4342616877
307	0.4342616738
308	0.4342123351
309	0.4340894125
310	0.4337961328
311	0.4337961167
312	0.4337408902
313	0.4337408719
314	0.4337408364
315	0.4337408236
316	0.4337270106
317	0.4337269943
318	0.4337269816
319	0.4333661849
320	0.433366183
321	0.4332612202
322	0.4332612192
323	0.4331186074
324	0.433065342
325	0.4329993701
326	0.4329202093
327	0.4324132391
328	0.4323751012
329	0.4323221764
330	0.4323221712
331	0.4323221711
332	0.4318176438
333	0.4318160737
334	0.4317716995
335	0.4313391859
336	0.4312941462
337	0.4310790644
338	0.4309070967
339	0.4309059152
340	0.4309059092
341	0.4308365253
342	0.4308363521
343	0.4307674843
344	0.4305912468
345	0.4304783886
346	0.4304783875
347	0.4303999604
348	0.4303999542
349	0.4303845542
350	0.4303808179
351	0.430255839
352	0.4302235176
353	0.4302100502
354	0.4300590434
355	0.4300588966
356	0.4299868471
357	0.4297595485
358	0.429619975
359	0.4295751576
360	0.4295751569
361	0.4295718373
362	0.429571827
363	0.4292636973
364	0.429231422
365	0.4286443636
366	0.4286135036
367	0.4286135015
368	0.4286134964
369	0.4284274909
370	0.4283089944
371	0.4282939776
372	0.4282652737
373	0.4282652691
374	0.4282611158
375	0.4282611145
376	0.4282609552
377	0.4280774865
378	0.4280774865
379	0.4280410952
380	0.4279326407
381	0.4275854164
382	0.427585416
383	0.4275722488
384	0.427572246
385	0.427208406
386	0.4272082232
387	0.4268011399
388	0.426801137
389	0.4267102789
390	0.4265904161
391	0.4264724026
392	0.4263255839
393	0.4263255744
394	0.4263255658
395	0.4263111803
396	0.4263111656
397	0.4263083646
398	0.4262974
399	0.4262973967
400	0.4262941299
401	0.4262941227
402	0.426294117
403	0.4262941123
404	0.4262941018
405	0.4259938511
406	0.4259938496
407	0.4259916862
408	0.4259916783
409	0.4259916758
410	0.4259916748
411	0.4259278962
412	0.4257585779
413	0.4255242769
414	0.4254685089
415	0.4253794781
416	0.4253752617
417	0.4253752599
418	0.4253707844
419	0.425332358
420	0.4253296122
421	0.4252987861
422	0.4252115961
423	0.4250744188
424	0.424974764
425	0.4249747634
426	0.4249288787
427	0.4249019294
428	0.4248186744
429	0.4248165273
430	0.4248165253
431	0.4247841253
432	0.4247841188
433	0.4246676985
434	0.4246002547
435	0.424546328
436	0.424546325
437	0.4245418533
438	0.4245058101
439	0.4243454836
440	0.4243147079
441	0.4243147046
442	0.4242415204
443	0.4239744432
444	0.4239744403
445	0.4239729582
446	0.4239729528
447	0.4238463996
448	0.4237873079
449	0.4237855464
450	0.4237843401
451	0.4237138682
452	0.4237138677
453	0.4237138635
454	0.4236607521
455	0.4236021666
456	0.423552994
457	0.4235520089
458	0.4233717148
459	0.4233141351
460	0.4232316845
461	0.4231895094
462	0.4230491596
463	0.4229962546
464	0.4229468517
465	0.4229468444
466	0.422905025
467	0.4226447719
468	0.4225862487
469	0.4225862442
470	0.4224924345
471	0.4222383029
472	0.4222382962
473	0.4222186979
474	0.4222186927
475	0.4221606604
476	0.4221547124
477	0.4221538367
478	0.4221538357
479	0.422147687
480	0.4221267557
481	0.4220551365
482	0.422008325
483	0.4219895787
484	0.4218292441
485	0.4218279679
486	0.421827939
487	0.4218279373
488	0.4218145656
489	0.4217970472
490	0.4217669984
491	0.4217669933
492	0.4217157608
493	0.4216237912
494	0.4214327855
495	0.4214327848
496	0.4210084201
497	0.4209143185
498	0.4208730981
499	0.4208694026
500	0.420869402
501	0.420832208
502	0.4208322051
503	0.4208322023
504	0.4207599591
505	0.4207599568
506	0.420759955
507	0.4207011295
508	0.4207011263
509	0.4206893782
510	0.4206893781
511	0.4206893779
512	0.420689375
513	0.4206694641
514	0.4206361188
515	0.4204631591
516	0.4203265755
517	0.4201275987
518	0.4201275974
519	0.4201208122
520	0.4201208122
521	0.4200943018
522	0.4200929175
523	0.4199941382
524	0.4199941348
525	0.4199606721
526	0.4199606711
527	0.4199170217
528	0.4199066777
529	0.4198856565
530	0.4198798219
531	0.4198640687
532	0.4198640593
533	0.4198493598
534	0.4198213932
535	0.4198079058
536	0.4198079054
537	0.4197734587
538	0.4197734582
539	0.4197385316
540	0.4197385287
541	0.4197139823
542	0.4196420319
543	0.4196420292
544	0.4196015316
545	0.4195995892
546	0.4195664931
547	0.4195514927
548	0.4195514918
549	0.4195514899
550	0.4193180584
551	0.4192480993
552	0.4191771734
553	0.4191771731
554	0.4189570511
555	0.4189570498
556	0.4188905312
557	0.4188606446
558	0.4188606359
559	0.4188485714
560	0.4188223424
561	0.4188196471
562	0.4188149786
563	0.4187043471
564	0.418640262
565	0.4186402619
566	0.4186152165
567	0.4186152143
568	0.4186152137
569	0.4186152137
570	0.4185810747
571	0.4185582767
572	0.4184328483
