iter	Passed	Remaining
0	5	5676
1	12	6302
2	142	47330
3	146	36555
4	152	30323
5	171	28420
6	177	25180
7	184	22916
8	191	21042
9	203	20147
10	209	18838
11	216	17823
12	225	17134
13	243	17165
14	248	16291
15	252	15520
16	259	14979
17	266	14543
18	276	14299
19	281	13815
20	287	13391
21	292	12983
22	300	12776
23	307	12489
24	312	12183
25	319	11964
26	335	12093
27	340	11810
28	344	11547
29	351	11364
30	360	11274
31	396	11993
32	415	12166
33	420	11952
34	428	11801
35	432	11570
36	436	11361
37	444	11253
38	454	11200
39	461	11085
40	471	11036
41	479	10942
42	490	10924
43	502	10919
44	509	10811
45	515	10696
46	527	10704
47	548	10870
48	554	10762
49	559	10635
50	580	10803
51	585	10674
52	591	10568
53	596	10454
54	601	10337
55	606	10224
56	611	10115
57	620	10081
58	629	10045
59	636	9971
60	642	9894
61	646	9786
62	709	10557
63	736	10766
64	743	10701
65	751	10638
66	758	10561
67	768	10535
68	776	10473
69	783	10415
70	789	10333
71	795	10254
72	802	10187
73	808	10111
74	814	10046
75	821	9989
76	826	9901
77	830	9814
78	835	9736
79	841	9681
80	851	9665
81	856	9585
82	861	9516
83	867	9458
84	874	9416
85	879	9350
86	884	9279
87	888	9212
88	892	9139
89	898	9085
90	903	9028
91	907	8960
92	912	8895
93	916	8832
94	939	8953
95	945	8901
96	951	8858
97	957	8814
98	962	8757
99	973	8764
100	979	8722
101	986	8683
102	999	8702
103	1005	8666
104	1010	8613
105	1015	8562
106	1019	8509
107	1024	8459
108	1032	8442
109	1038	8401
110	1042	8352
111	1047	8307
112	1053	8272
113	1061	8250
114	1067	8218
115	1072	8176
116	1077	8133
117	1086	8124
118	1091	8081
119	1124	8248
120	1256	9127
121	1261	9076
122	1269	9049
123	1273	8995
124	1281	8968
125	1286	8923
126	1291	8874
127	1296	8830
128	1302	8791
129	1307	8748
130	1313	8712
131	1317	8666
132	1330	8675
133	1336	8635
134	1342	8601
135	1347	8559
136	1351	8513
137	1355	8468
138	1412	8749
139	1430	8790
140	1442	8786
141	1450	8764
142	1489	8928
143	1497	8900
144	1509	8902
145	1515	8864
146	1521	8826
147	1526	8789
148	1530	8743
149	1536	8707
150	1541	8668
151	1548	8641
152	1556	8614
153	1561	8580
154	1582	8625
155	1587	8586
156	1592	8549
157	1597	8511
158	1601	8473
159	1628	8548
